2017年06月01日,多云/多云,34℃/21℃,东南风3-4级/东风3-4级
2017年06月02日,多云/多云,32℃/21℃,东南风3-4级/东南风3-4级
2017年06月03日,多云/多云,31℃/20℃,东风3-4级/东风4-5级
2017年06月04日,多云/阴,30℃/20℃,东风3-4级/东南风4-5级
2017年06月05日,中到大雨/中雨,23℃/19℃,东南风4-5级/东南风4-5级
2017年06月06日,小雨/阴,25℃/18℃,西风4-5级/西风3-4级
2017年06月07日,多云/多云,29℃/19℃,西北风3-4级/东南风≤3级
2017年06月08日,多云/多云,31℃/22℃,东南风3-4级/东南风3-4级
2017年06月09日,阴/中雨,31℃/24℃,南风3-4级/南风3-4级
2017年06月10日,暴雨/阵雨,25℃/20℃,南风4-5级/东北风4-5级
2017年06月11日,多云/多云,29℃/20℃,东北风4-5级/东风3-4级
2017年06月12日,阴/多云,27℃/20℃,东南风3-4级/西南风3-4级
2017年06月13日,阴/多云,25℃/20℃,东南风3-4级/东风3-4级
2017年06月14日,多云/多云,28℃/19℃,东风3-4级/东风3-4级
2017年06月15日,多云/多云,29℃/19℃,东风3-4级/东南风3-4级
2017年06月16日,多云/多云,30℃/19℃,东南风3-4级/东南风3-4级
2017年06月17日,晴/多云,30℃/19℃,东南风3-4级/东南风3-4级
2017年06月18日,多云/多云,30℃/21℃,东南风3-4级/东南风3-4级
2017年06月19日,多云/阴,29℃/22℃,东南风3-4级/东南风3-4级
2017年06月20日,阴/阴,27℃/21℃,东南风3-4级/东南风3-4级
2017年06月21日,阵雨/雷阵雨,28℃/23℃,东南风3-4级/东北风3-4级
2017年06月22日,阵雨/阵雨,27℃/23℃,东南风3-4级/东南风3-4级
2017年06月23日,阵雨/大雨,27℃/22℃,东南风3-4级/南风3-4级
2017年06月24日,阴/阵雨,29℃/23℃,南风3-4级/西南风3-4级
2017年06月25日,雷阵雨/阴,27℃/22℃,西南风3-4级/西风3-4级
2017年06月26日,阴/阴,30℃/23℃,西南风3-4级/西南风3-4级
2017年06月27日,多云/多云,32℃/24℃,南风3-4级/南风3-4级
2017年06月28日,阴/雷阵雨,29℃/23℃,南风3-4级/南风3-4级
2017年06月29日,多云/阴,30℃/23℃,东南风3-4级/西南风≤3级
2017年06月30日,雷阵雨/阵雨,30℃/25℃,东南风3-4级/东南风3-4级
2017年07月01日,雷阵雨/雷阵雨,28℃/24℃,东南风3-4级/南风3-4级
2017年07月02日,中雨/中雨,29℃/24℃,南风3-4级/西南风3-4级
2017年07月03日,雷阵雨/阴,31℃/25℃,西南风3-4级/西南风3-4级
2017年07月04日,雷阵雨/多云,32℃/25℃,西南风3-4级/南风3-4级
2017年07月05日,雷阵雨/雷阵雨,33℃/26℃,南风3-4级/南风3-4级
2017年07月06日,雷阵雨/多云,34℃/27℃,南风3-4级/西南风3-4级
2017年07月07日,多云/多云,35℃/28℃,南风3-4级/南风3-4级
2017年07月08日,雷阵雨/雷阵雨,32℃/25℃,西南风3-4级/南风3-4级
2017年07月09日,雷阵雨/雷阵雨,31℃/26℃,南风3-4级/南风3-4级
2017年07月10日,雷阵雨/阴,31℃/26℃,南风3～4级/南风3～4级
2017年07月11日,雷阵雨/多云,32℃/26℃,南风3-4级/南风3-4级
2017年07月12日,多云/多云,34℃/28℃,南风3-4级/南风3-4级
2017年07月13日,多云/多云,35℃/28℃,南风3-4级/南风3-4级
2017年07月14日,多云/多云,37℃/28℃,南风3-4级/南风3-4级
2017年07月15日,多云/多云,37℃/29℃,南风≤3级/东南风3-4级
2017年07月16日,多云/多云,38℃/29℃,南风3-4级/南风≤3级
2017年07月17日,多云/多云,38℃/29℃,南风3-4级/南风3-4级
2017年07月18日,多云/多云,37℃/29℃,南风3-4级/南风≤3级
2017年07月19日,多云/多云,36℃/28℃,西南风3-4级/西南风3-4级
2017年07月20日,晴/多云,37℃/30℃,西南风3-4级/西南风≤3级
2017年07月21日,晴/晴,39℃/30℃,西南风≤3级/南风≤3级
2017年07月22日,晴/晴,40℃/30℃,南风≤3级/南风≤3级
2017年07月23日,晴/晴,41℃/30℃,南风3-4级/西南风≤3级
2017年07月24日,晴/晴,40℃/30℃,西南风3-4级/西南风≤3级
2017年07月25日,晴/晴,40℃/30℃,北风3-4级/东南风≤3级
2017年07月26日,多云/晴,38℃/29℃,东风≤3级/东南风3-4级
2017年07月27日,晴/晴,39℃/30℃,东南风3-4级/东南风3-4级
2017年07月28日,晴/晴,39℃/29℃,东南风3-4级/东南风3-4级
2017年07月29日,多云/多云,36℃/29℃,东风3-4级/东风3-4级
2017年07月30日,雷阵雨/雷阵雨,35℃/28℃,东风3-4级/东南风3-4级
2017年07月31日,雷阵雨/阴,35℃/28℃,东南风4-5级/东南风4-5级
2017年08月01日,雷阵雨/雷阵雨,35℃/28℃,东南风4-5级/东南风4-5级
2017年08月02日,雷阵雨/雷阵雨,34℃/28℃,东南风3-4级/南风3-4级
2017年08月03日,多云/多云,35℃/29℃,南风3-4级/南风3-4级
2017年08月04日,多云/多云,36℃/29℃,西风3-4级/西风3-4级
