2017-06-01 08:40:00,65,76,84,67,0,74,67
2017-06-01 08:45:00,65,74,77,72,75,71,78
2017-06-01 08:50:00,72,72,74,69,78,72,71
2017-06-01 08:55:00,71,68,82,77,88,70,72
2017-06-01 09:00:00,67,66,78,71,80,72,69
2017-06-01 09:05:00,61,71,76,77,69,68,75
2017-06-01 09:10:00,73,74,76,76,73,74,74
2017-06-01 09:15:00,55,72,84,78,62,77,75
2017-06-01 09:20:00,0,65,77,72,0,69,70
2017-06-01 09:25:00,62,76,88,79,82,74,64
2017-06-01 09:30:00,67,78,85,76,65,73,75
2017-06-01 09:35:00,69,81,78,71,77,68,72
2017-06-01 09:40:00,64,66,79,69,62,74,80
2017-06-01 09:45:00,63,74,77,75,75,70,51
2017-06-01 09:50:00,67,65,76,69,72,73,72
2017-06-01 09:55:00,70,85,80,72,69,77,68
2017-06-01 10:00:00,65,69,76,74,77,75,69
2017-06-01 10:05:00,73,0,82,79,76,70,69
2017-06-01 10:10:00,73,70,74,77,63,70,69
2017-06-01 10:15:00,59,75,79,71,0,72,70
2017-06-01 10:20:00,73,65,78,71,70,65,72
2017-06-01 10:25:00,57,76,69,74,73,67,79
2017-06-01 10:30:00,65,65,41,65,40,63,71
2017-06-01 10:35:00,45,75,42,75,48,61,64
2017-06-01 10:40:00,68,58,25,70,38,38,61
2017-06-01 10:45:00,59,0,10,65,11,63,59
2017-06-01 10:50:00,59,67,16,63,10,34,58
2017-06-01 10:55:00,63,76,57,75,68,57,75
2017-06-01 11:00:00,61,68,65,65,66,76,69
2017-06-01 11:05:00,65,63,64,75,52,63,74
2017-06-01 11:10:00,56,71,69,65,66,61,69
2017-06-01 11:15:00,67,68,69,62,67,67,85
2017-06-01 11:20:00,56,70,74,68,68,66,63
2017-06-01 11:25:00,66,69,74,68,68,71,67
2017-06-01 11:30:00,60,69,74,71,64,70,68
2017-06-01 11:35:00,66,73,73,80,0,76,73
2017-06-01 11:40:00,66,71,80,66,74,72,42
2017-06-01 11:45:00,57,77,84,73,72,72,69
2017-06-01 11:50:00,68,74,79,74,73,71,66
2017-06-01 11:55:00,64,76,77,71,68,75,78
2017-06-01 12:00:00,62,78,76,75,75,68,67
2017-06-01 12:05:00,63,66,73,66,65,73,64
2017-06-01 12:10:00,71,70,70,71,66,65,67
2017-06-01 12:15:00,61,70,83,77,76,72,74
2017-06-01 12:20:00,59,79,75,75,71,74,69
2017-06-01 12:25:00,65,75,81,75,60,69,75
2017-06-01 12:30:00,60,77,78,74,65,69,77
2017-06-01 12:35:00,82,73,77,66,67,71,70
2017-06-01 12:40:00,67,73,82,67,64,76,70
2017-06-01 12:45:00,63,64,77,71,66,74,69
2017-06-01 12:50:00,63,83,82,64,80,67,72
2017-06-01 12:55:00,57,71,77,73,71,71,80
2017-06-01 13:00:00,69,71,82,70,62,74,75
2017-06-01 13:05:00,72,71,81,74,76,68,76
2017-06-01 13:10:00,68,68,78,71,72,67,66
2017-06-01 13:15:00,69,69,73,71,71,69,71
2017-06-01 13:20:00,65,68,82,76,65,78,69
2017-06-01 13:25:00,66,74,81,66,73,70,75
2017-06-01 13:30:00,67,77,81,66,77,78,71
2017-06-01 13:35:00,67,70,75,72,63,70,69
2017-06-01 13:40:00,59,75,74,77,75,68,71
2017-06-01 13:45:00,55,64,83,73,69,73,67
2017-06-01 13:50:00,67,72,81,74,69,75,71
2017-06-01 13:55:00,77,75,71,74,71,78,76
2017-06-01 14:00:00,58,73,77,74,60,72,67
2017-06-01 14:05:00,54,62,68,68,69,68,74
2017-06-01 14:10:00,64,72,79,70,63,69,66
2017-06-01 14:15:00,62,66,81,73,0,72,76
2017-06-01 14:20:00,78,72,82,77,75,77,76
2017-06-01 14:25:00,66,68,75,68,62,65,65
2017-06-01 14:30:00,69,68,84,75,74,70,74
2017-06-01 14:35:00,67,68,83,70,59,75,70
2017-06-01 14:40:00,67,69,79,72,84,71,78
2017-06-01 14:45:00,68,75,77,74,75,67,72
2017-06-01 14:50:00,65,75,76,72,78,70,72
2017-06-01 14:55:00,63,64,75,68,58,70,69
2017-06-01 15:00:00,73,73,83,73,72,78,63
2017-06-01 15:05:00,88,63,81,71,70,67,66
2017-06-01 15:10:00,67,66,77,68,75,72,61
2017-06-01 15:15:00,71,70,75,72,67,68,80
2017-06-01 15:20:00,64,65,87,74,65,73,68
2017-06-01 15:25:00,64,69,75,70,88,72,66
2017-06-01 15:30:00,55,66,79,72,68,67,66
2017-06-01 15:35:00,74,74,78,68,67,75,70
2017-06-01 15:40:00,63,78,84,72,0,71,70
2017-06-01 15:45:00,60,70,78,71,64,77,68
2017-06-01 15:50:00,67,77,75,69,72,69,66
2017-06-01 15:55:00,74,68,79,72,72,74,71
2017-06-01 16:00:00,62,66,71,72,73,75,72
2017-06-01 16:05:00,79,74,78,71,75,75,70
2017-06-01 16:10:00,64,72,78,70,64,72,68
2017-06-01 16:15:00,56,71,84,75,67,73,82
2017-06-01 16:20:00,69,69,76,71,66,71,73
2017-06-01 16:25:00,74,67,77,68,73,78,78
2017-06-01 16:30:00,59,77,81,78,68,78,75
2017-06-01 16:35:00,71,67,81,63,75,70,74
2017-06-01 16:40:00,68,67,77,77,68,72,66
2017-06-01 16:45:00,66,76,77,68,65,69,68
2017-06-01 16:50:00,63,75,91,74,77,76,73
2017-06-01 16:55:00,73,71,79,71,66,69,69
2017-06-01 17:00:00,65,74,85,66,81,70,75
2017-06-01 17:05:00,76,71,70,68,87,72,75
2017-06-01 17:10:00,0,83,82,76,69,65,75
2017-06-01 17:15:00,0,76,83,79,87,68,76
2017-06-01 17:20:00,71,69,81,77,87,79,73
2017-06-01 17:25:00,62,68,81,75,76,69,82
2017-06-01 17:30:00,75,71,72,77,73,71,71
2017-06-01 17:35:00,74,64,78,78,91,77,73
